id,name,city,country,count,normaldist
1,Zoe Wilkins,Waret-l'Evque,India,62817,9.2771367401
2,Ivory Garza,Vanderbijlpark,Germany,2716,10.3664269448
3,Phoebe Glass,Valle del Guamuez,Russian Federation,31827,9.1103136074
4,Shellie Pate,Aizwal,Nigeria,12271,7.7112993566
5,Cooper Beard,Dörtyol,Poland,49759,10.8290180094
6,Lionel Hopkins,Sandefjord,India,80912,9.5950160910
7,Lillith Weaver,Palmerston,France,79985,11.2911129063
8,Fritz Pitts,Gressoney-Saint-Jean,Peru,73592,11.8642281632
9,Reuben Conner,Denpasar,South Korea,38489,9.6437817648
10,Malik Moran,Hubei,South Africa,38910,7.4808652380
11,Eaton Hays,Delhi,Russian Federation,10044,9.2428333646
12,Lee Delgado,San Rafael,Netherlands,53157,9.4739924836
13,Shelley Brock,Boryspil,Nigeria,16549,10.7327494056
14,Carl Brady,Stavanger,France,55088,8.4826936813
15,Velma Good,Gunsan,France,65172,7.5014268614
16,Odessa Barnett,Fürth,Italy,47858,10.2379639716
17,Fredericka Abbott,Delmenhorst,Turkey,83674,6.9046702981
18,Gisela Rich,Piura,Russian Federation,26296,11.4873817628
19,Paul Stephenson,Guangxi,Sweden,51184,8.3707267195
20,Ingrid Ray,Chepén,Peru,77907,10.1451553462
21,Emmanuel Bennett,Elmshorn,Peru,61582,10.6738865357
22,Olga Castillo,Chungju,Costa Rica,62044,8.4258448827
23,Azalia Mann,Dublin,Austria,92210,9.1267969688
24,Jacob Vega,Sandy,Chile,90030,9.7206628320
25,Giselle Abbott,Chimbote,United States,73621,10.3705079577
26,Cullen Schroeder,Viranşehir,Ireland,27627,10.7138939684
27,Chaim Sweet,Jurong East,Indonesia,3097,9.9697827843
28,Dennis Lynn,Paranaguá,Norway,19634,10.7849170036
29,Alyssa Freeman,Velsk,Ukraine,67000,11.8748666837
30,Zia Mcclure,Pachuca,India,83100,8.8562499049
31,Sylvester Ferguson,Upper Hutt,Pakistan,1726,11.3704103503
32,Clarke House,San José de Alajuela,Indonesia,65177,12.4562440323
33,Liberty Mccarty,General Lagos,Russian Federation,53716,8.5241447125
34,Martina Zamora,Ingraj Bazar,South Korea,41668,10.0440884187
35,Quin Cote,Puno,Turkey,80520,12.2704216488
36,Akeem Foley,Combarbalá,United States,71424,9.7256381665
37,Xaviera Beasley,Belfast,Brazil,37224,9.6515681426
38,Alden Holman,Jiangxi,Vietnam,98390,10.5689443272
39,Martha Barlow,Tây Ninh,South Africa,15526,10.4757717307
40,Hu Odom,Medellín,New Zealand,98667,9.1676990648
41,Beck Martinez,Jaén,Spain,97161,9.2960228990
42,Andrew Deleon,Mérida,Mexico,88577,10.1320468456
43,Pearl Workman,Seogwipo,South Korea,68676,10.3835413288
44,Hanae Pierce,Gravataí,Costa Rica,55682,11.9478510672
45,Nelle Mcintosh,Wrexham,Belgium,83201,9.9735699445
46,Phyllis Wright,Chiniot,Singapore,42686,12.4490381770
47,Allen Leonard,Kraków,Russian Federation,86529,9.6758672917
48,Ursa Campbell,Fredericton,India,46723,11.1140488053
49,Xavier Walters,Tomohon,Spain,48452,10.3186538589
50,Karly Livingston,Musina,Germany,15354,11.7734956408
51,Plato Mann,Central Water Catchment,New Zealand,2310,7.9797932509
52,Emery Rivers,Yahyalı,Colombia,93009,8.3514077212
53,Ainsley Chen,Sengkang,Australia,83832,10.2400189895
54,Tanisha Ferrell,Marilles,Germany,81708,8.5991622094
55,Deborah Grant,Ulyanovsk,Nigeria,56820,8.5840346277
56,Alea Oneil,Mamuju,Australia,45350,11.5165748733
57,Declan Pennington,Valle del Guamuez,Ukraine,94711,10.1216568547
58,Julie Pearson,Rangiora,Mexico,48456,10.5871622046
59,Vincent Mclean,Sagamu,Spain,1420,10.6090851803
60,Hilda Peters,Kollam,Australia,21962,10.2267454728
61,Jael Silva,Xinjiang,United Kingdom,91540,10.4254498772
62,Eleanor Tyler,Thanh Hóa,Philippines,71725,8.3998508585
63,Erich Blankenship,Cisnes,Chile,32071,10.3574724737
64,Brody Newton,Cork,France,23792,10.5175635628
65,Martin Alston,Maicao,Pakistan,72590,9.1816976484
66,Rogan Shepherd,Chulucanas,South Korea,28913,8.1111767089
67,Rinah Herrera,San Miguel,Peru,11264,10.0658408673
68,Lester Jones,Mataram,Russian Federation,99861,11.5513253735
69,Ryder Patel,Oaxaca,India,80286,12.1966897865
70,Ainsley Hines,Thanh Hóa,Colombia,95157,9.7233657288
71,Myra Steele,Savannah,Ireland,81016,8.6024220984
72,Emery Ward,Armadale,India,7476,8.3558123819
73,Hiram Sheppard,Tübingen,Russian Federation,23970,10.9743070538
74,Grady Humphrey,Bogotá,United States,13429,11.6182560133
75,Buffy Hurley,Verrebroek,Ukraine,10001,11.7743463297
76,Mariko Emerson,Reyhanlı,China,86956,11.9076127811
77,Carissa English,Liaoning,France,88650,11.2907545858
78,Emi Albert,Pukekohe,Nigeria,29488,7.7604934835
79,Charity Goodman,Tuglie,Turkey,81131,10.5303143202
80,Brielle Pickett,Udaipur,Ireland,49697,10.0055948362
81,Angela Mosley,Itanagar,Ireland,58968,11.0009895697
82,Eleanor Boyd,Vĩnh Long,Peru,40391,10.3997589241
83,Clio Rodgers,Siedlce,Germany,4898,8.5229745430
84,Hollee Bailey,Pontevedra,United Kingdom,49154,8.7888269211
85,Melanie Cherry,Kaduna,Spain,89623,11.4052303952
86,Norman Gonzalez,Tournefeuille,Turkey,63631,12.2095198238
87,Chandler Becker,Dubno,Sweden,63309,11.9529368039
88,Kennedy Wilkins,Köflach,Costa Rica,92017,12.9646296075
89,Cecilia Pennington,Parañaque,Indonesia,57750,10.8476404221
90,Kaye Morrison,Ang Mo Kio,Netherlands,10291,8.5136285128
91,Imogene Porter,Ludvika,Sweden,45855,9.0819653367
92,Yvette Mendoza,Deventer,Norway,88976,10.2738070028
93,Price Savage,Gdańsk,Austria,49260,9.4187080320
94,Aaron Dickson,Meppel,Indonesia,31211,9.2143221322
95,Clinton Medina,Ełk,Sweden,69103,8.8590457864
96,Zoe Guerra,Graz,United States,15731,10.9262462699
97,Devin Cash,Saint Petersburg,Mexico,90832,9.9717740013
98,Martha Bush,Katsina,China,84644,11.0094190129
99,Scott Shepherd,Gunsan,Italy,54005,8.1528215896
100,Hadley Mckinney,Hưng Hà,Brazil,17306,10.4879590413
